Date,AAPL,AMZN,MSFT,NVDA
2025-10-14,247.07101440429688,216.38999938964844,510.337890625,180.01022338867188
2025-10-15,248.63658142089844,215.57000732421875,510.1987609863281,179.8102569580078
2025-10-16,246.7519073486328,214.47000122070312,508.3902282714844,181.7900390625
2025-10-17,251.5782470703125,213.0399932861328,510.347900390625,183.19989013671875
2025-10-20,261.50018310546875,216.47999572753906,513.53759765625,182.6199493408203
2025-10-21,262.0286865234375,222.02999877929688,514.4021606445312,181.14010620117188
2025-10-22,257.72088623046875,217.9499969482422,517.2640380859375,180.2602081298828
2025-10-23,258.84765625,221.08999633789062,517.283935546875,182.13999938964844
2025-10-24,262.07855224609375,224.2100067138672,520.314697265625,186.23953247070312
2025-10-27,268.0516357421875,226.97000122070312,528.1749877929688,191.46897888183594
2025-10-28,268.2410888671875,229.25,538.6585693359375,201.0079345703125
2025-10-29,268.93914794921875,230.3000030517578,538.141845703125,207.01727294921875
2025-10-30,270.63433837890625,222.86000061035156,522.451171875,202.8677215576172
2025-10-31,269.60723876953125,244.22000122070312,514.5512084960938,202.4677734375
2025-11-03,268.2909851074219,254.0,513.776123046875,206.85728454589844
2025-11-04,269.2781982421875,249.32000732421875,511.0931701660156,198.66818237304688
2025-11-05,269.3778991699219,250.1999969482422,503.9682312011719,195.18858337402344
2025-11-06,269.0089416503906,243.0399932861328,493.9715576171875,188.05935668945312
2025-11-07,267.7126159667969,244.41000366210938,493.6933288574219,188.1293487548828
2025-11-10,268.9303283691406,248.39999389648438,502.8155212402344,199.0281524658203
2025-11-11,274.73956298828125,249.10000610351562,505.4786682128906,193.1387939453125
2025-11-12,272.962890625,244.1999969482422,507.9232177734375,193.7787322998047
2025-11-13,272.4438171386719,237.5800018310547,500.1225891113281,186.8394775390625
2025-11-14,271.90484619140625,234.69000244140625,506.96923828125,190.1491241455078
2025-11-17,266.9639892578125,232.8699951171875,504.296142578125,186.5795135498047
2025-11-18,266.94403076171875,222.5500030517578,490.6824035644531,181.340087890625
2025-11-19,268.0619812011719,222.69000244140625,484.0543518066406,186.49951171875
2025-11-20,265.7562561035156,217.13999938964844,476.3088684082031,180.6201629638672
2025-11-21,270.98651123046875,220.69000244140625,470.0268249511719,178.86036682128906
2025-11-24,275.4083557128906,226.27999877929688,471.8985290527344,182.52996826171875
2025-11-25,276.45635986328125,229.6699981689453,474.8752136230469,177.80047607421875
2025-11-26,277.0353088378906,229.16000366210938,483.3475036621094,180.24020385742188
2025-11-28,278.3328857421875,233.22000122070312,489.82867431640625,176.98056030273438
2025-12-01,282.57501220703125,233.8800048828125,484.5820007324219,179.90025329589844
2025-12-02,285.6592712402344,234.4199981689453,487.82757568359375,181.44007873535156
2025-12-03,283.623046875,232.3800048828125,475.6119689941406,179.57028198242188
2025-12-04,280.179443359375,229.11000061035156,478.7081604003906,183.37008666992188
2025-12-05,278.26300048828125,229.52999877929688,481.01788330078125,182.40013122558594
2025-12-08,277.3746643066406,226.88999938964844,488.8430480957031,185.5399627685547
2025-12-09,276.6659851074219,227.9199981689453,489.8385925292969,184.95999145507812
2025-12-10,278.26300048828125,231.77999877929688,476.4382629394531,183.77005004882812
2025-12-11,277.514404296875,230.27999877929688,481.3265075683594,180.92019653320312
2025-12-12,277.763916015625,226.19000244140625,476.4084167480469,175.01052856445312
2025-12-15,273.6016540527344,222.5399932861328,472.7148742675781,176.28045654296875
2025-12-16,274.1007385253906,222.55999755859375,474.2779235839844,177.71038818359375
2025-12-17,271.33587646484375,221.27000427246094,474.00909423828125,170.93075561523438
2025-12-18,271.68524169921875,226.75999450683594,481.8342590332031,174.1305694580078
2025-12-19,273.1625061035156,227.35000610351562,483.7656555175781,180.98020935058594
2025-12-22,270.4674987792969,228.42999267578125,482.7701110839844,183.6800537109375
2025-12-23,271.85491943359375,232.13999938964844,484.6915588378906,189.19976806640625
2025-12-24,273.3022155761719,232.3800048828125,485.8563232421875,188.59979248046875
2025-12-26,272.89300537109375,232.52000427246094,485.5477294921875,190.51968383789062
2025-12-29,273.2523498535156,232.07000732421875,484.9404296875,188.20980834960938
2025-12-30,272.57354736328125,232.52999877929688,485.3187561035156,187.52984619140625
2025-12-31,271.3558349609375,230.82000732421875,481.4758605957031,186.4899139404297
